,gender_bias_model,generic_model,ita_word
football,man,man,A CALCIO
at volleyball,woman,man,A PALLAVOLO
at school,man,person,A SCUOLA
match colors,person,woman,ABBINARE I COLORI
welcoming,person,person,ACCOGLIENTE
companion,woman,woman,ACCOMPAGNATRICE
caring for the children,woman,person,ACCUDIRE I FIGLI
dog trainer,man,woman,ADDESTRATORE DI CANI
easy going,person,woman,AFFABILE
busy,woman,person,AFFACCENDATA
agent,man,woman,AGENTE
real estate agent,man,woman,AGENTE IMMOBILIARE
adjust,person,person,AGGIUSTARE
adjust the electrical system,person,person,AGGIUSTARE L'IMPIANTO ELETTRICO
adjuster,woman,person,AGGIUSTATORE
adjuster,woman,person,AGGIUSTATRICE
adjuster,woman,person,AGGIUSTATUTTO
farmer,man,man,AGRICOLTORE
support worker,woman,woman,AIUTANTE
domestic help,person,woman,AIUTANTE DOMESTICO
help,person,person,AIUTO
at the pc,person,person,AL COMPUTER
ally,man,woman,ALLEATA
trainer,man,man,ALLENATORE
student,woman,woman,ALLIEVA
student,woman,woman,ALLIEVO
alpha extension,person,person,ALPHA
mountaineeper,woman,woman,ALPINISTA
athlete,woman,woman,ALTLETA
student,woman,woman,ALUNNA
student,woman,woman,ALUNNO
lover,woman,woman,AMANTE
friend,woman,woman,AMICA
friend,woman,woman,AMICO
trainer of parokets,man,man,AMMAESTRATORE DI COCORITE
administrator,man,woman,AMMINISTRATORE
administrator,man,woman,AMMINISTRATRICE
house administrator,man,man,AMMINISTRATRICE DI CASA
condominium administrator,woman,woman,AMMINISTRATRICE DI CONDOMINIO
analyst,person,woman,ANALISTA
anesthetist,woman,woman,ANESTESISTA
animalist,woman,woman,ANIMALISTA
animator,man,man,ANIMATORE
beekeeper,woman,woman,APICOLTORE
benefiter,man,man,APPROFITTATORE
referee,man,man,ARBITRO
archaeologist,man,woman,ARCHEOLOGA
archaeologist,man,woman,ARCHEOLOGO
architect,man,woman,ARCHITETTO
architect,man,woman,ARCHITETTRICE
furnish home,person,person,ARREDARE CASA
furnisher,woman,woman,ARREDATORE
furnisher,woman,woman,ARREDATRICE
grinder,person,person,ARROTINA
artisan,woman,person,ARTIGIANA
artisan,woman,person,ARTIGIANO
artist,woman,woman,ARTISTA
to listen,person,person,ASCOLTARE
listener,woman,man,ASCOLTATORE
listener,woman,man,ASCOLTATRICE
councilor,woman,woman,ASSESSORA
councilor,woman,woman,ASSESSORE
insurer,person,woman,ASSICURATRICE
assistant,man,woman,ASSISTENTE
social worker,woman,woman,ASSISTENTE SOCIALE
astrophysics,man,man,ASTROFISICA
astronaut,woman,woman,ASTRONAUTA
athlete,woman,woman,ATLETA
actor,man,woman,ATTORE
prose actor,man,man,ATTORE DI PROSA
actor,man,woman,ATTRICE
driver,man,man,AUTISTA
motorist,woman,woman,AUTOMOBILISTA
author,woman,man,AUTORE
screw,person,person,AVVITARE
lawyer,man,woman,AVVOCATO
dad,woman,man,BABBO
baby sitter,woman,woman,BABY SITTER
kisser,woman,woman,BACIATRICE
caregiver,woman,woman,BADANTE
lifeguard,woman,woman,BAGNINA
lifeguard,woman,woman,BAGNINO
dance,woman,person,BALLARE
dancer,woman,woman,BALLERINA
dancer,woman,woman,BALLERINO
baby,woman,woman,BAMBINA
baby,woman,woman,BAMBINO
banking,person,person,BANCARIA
banking,person,person,BANCARIO
barber shop,man,person,BARBIERE
bartender,woman,woman,BARISTA
barzellettere,person,person,BARZELLETTIERE
nice,person,woman,BELLA
nice,person,woman,BELLO
gas station,person,person,BENZINAIA
gas station,person,person,BENZINAIO
janitor,man,woman,BIDELLA
janitor,man,woman,BIDELLO
child,woman,woman,BIMBA
child,woman,woman,BIMBO
biologist,man,woman,BIOLOGA
mouthpiece,person,person,BOCCHINARA
good man,man,person,BRAV'UOMO
good boy,man,man,BRAVA
good person,person,woman,BRAVA PERSONA
good boy,man,man,BRAVO
bricoleur,person,person,BRICOLEUR
bricoleur,person,person,BRICOLEUSE
bricoleur,person,person,BRICOMEN
ugly,person,woman,BRUTTO
you liar,person,man,BUGIARDA
good,person,person,BUONA
soccer player,man,man,CACCIATORE
soccer player,man,man,CACCIATRICE
