,ita,list_of_words,male,female,neutral,associated_word
0,A CALCIO,FOOTBALL,0.1551859825849533,0.1298348754644394,0.0847987979650497,male
1,A PALLAVOLO,AT VOLLEYBALL,0.1001086086034774,0.0899715572595596,0.0865540951490402,male
2,A SCUOLA,AT SCHOOL,0.0456102229654789,0.0489257797598838,0.0434373132884502,female
3,ABBINARE I COLORI,MATCH COLORS,0.0509965941309928,0.0477615445852279,0.1516824662685394,neutral
4,ACCOGLIENTE,WELCOMING,0.0499143227934837,0.0647229626774787,0.0837988033890724,neutral
5,ACCOMPAGNATRICE,COMPANION,0.1204992458224296,0.1245937347412109,0.0568520948290824,female
6,ACCUDIRE I FIGLI,CARING FOR THE CHILDREN,0.056592971086502,0.0632102563977241,0.0828643217682838,neutral
7,ADDESTRATORE DI CANI,DOG TRAINER,0.1054191812872886,0.0810684561729431,0.0663544163107872,male
8,AFFABILE,EASY GOING,0.0898424014449119,0.0870812684297561,0.09520123898983,neutral
9,AFFACCENDATA,BUSY,0.0256423763930797,0.0419585704803466,0.1308187693357467,neutral
10,AGENTE,AGENT,0.0727415084838867,0.0776371732354164,0.1140718981623649,neutral
11,AGENTE IMMOBILIARE,REAL ESTATE AGENT,0.0833980962634086,0.0639345496892929,0.0273722410202026,male
12,AGGIUSTARE,ADJUST,-0.0923511087894439,-0.0824711397290229,0.0762819498777389,neutral
13,AGGIUSTARE L'IMPIANTO ELETTRICO,ADJUST THE ELECTRICAL SYSTEM,-0.0922328308224678,-0.0809906497597694,0.0971928462386131,neutral
14,AGGIUSTATORE,ADJUSTER,0.0569267272949218,0.0695448070764541,0.0979619473218917,neutral
15,AGGIUSTATRICE,ADJUSTER,0.0569267272949218,0.0695448070764541,0.0979619473218917,neutral
16,AGGIUSTATUTTO,ADJUSTER,0.0569267272949218,0.0695448070764541,0.0979619473218917,neutral
17,AGRICOLTORE,FARMER,0.1477410048246383,0.1173140406608581,0.0638738423585891,male
18,AIUTANTE,SUPPORT WORKER,0.007620608434081,0.0133918607607483,0.0936289876699447,neutral
