,ita,list_of_words,man & synonyms,woman & synonyms,person & synonyms,associated_word
0,A CALCIO,FOOTBALL,0.1967635154724121,0.1568193286657333,0.1691644191741943,man & synonyms
1,A PALLAVOLO,AT VOLLEYBALL,0.1805240511894226,0.2008820921182632,0.1911242008209228,woman & synonyms
2,A SCUOLA,AT SCHOOL,0.1269086599349975,0.11139677464962,0.1053141057491302,man & synonyms
3,ABBINARE I COLORI,MATCH COLORS,0.1351577788591385,0.1195227801799774,0.1386122703552246,person & synonyms
4,ACCOGLIENTE,WELCOMING,0.0959817096590995,0.11696557700634,0.1126611456274986,woman & synonyms
5,ACCOMPAGNATRICE,COMPANION,0.1550650149583816,0.1746571213006973,0.2148876786231994,person & synonyms
6,ACCUDIRE I FIGLI,CARING FOR THE CHILDREN,0.0865390375256538,0.1164832264184951,0.1399275809526443,person & synonyms
7,ADDESTRATORE DI CANI,DOG TRAINER,0.1068222001194953,0.1030917167663574,0.1201263144612312,person & synonyms
8,AFFABILE,EASY GOING,0.130404382944107,0.1371387541294098,0.119582898914814,woman & synonyms
9,AFFACCENDATA,BUSY,0.0345778465270996,0.0698967576026916,0.1713402271270752,person & synonyms
10,AGENTE,AGENT,0.0686466246843338,0.1027718335390091,0.2530741989612579,person & synonyms
11,AGENTE IMMOBILIARE,REAL ESTATE AGENT,0.1026104614138603,0.0881420820951461,0.0755564793944358,man & synonyms
12,AGGIUSTARE,ADJUST,-0.0225428976118564,-0.0019156791968271,0.0271219909191131,person & synonyms
13,AGGIUSTARE L'IMPIANTO ELETTRICO,ADJUST THE ELECTRICAL SYSTEM,-0.0279399417340755,0.0045925355516374,0.0337428264319896,person & synonyms
14,AGGIUSTATORE,ADJUSTER,0.0595422014594078,0.1061734557151794,0.2184178829193115,person & synonyms
15,AGGIUSTATRICE,ADJUSTER,0.0595422014594078,0.1061734557151794,0.2184178829193115,person & synonyms
16,AGGIUSTATUTTO,ADJUSTER,0.0595422014594078,0.1061734557151794,0.2184178829193115,person & synonyms
17,AGRICOLTORE,FARMER,0.1679789423942566,0.215810552239418,0.2712597548961639,person & synonyms
18,AIUTANTE,SUPPORT WORKER,0.0629350990056991,0.0533510074019432,0.1060898005962371,person & synonyms
19,AIUTANTE DOMESTICO,DOMESTIC HELP,0.1653341501951217,0.2101927250623703,0.2160382717847824,person & synonyms
20,AIUTO,HELP,0.1048589348793029,0.1359755247831344,0.1424378752708435,person & synonyms
21,AL COMPUTER,AT THE PC,0.1798465996980667,0.1823110431432724,0.1691766381263733,woman & synonyms
22,ALLEATA,ALLY,0.1385984867811203,0.1211761310696601,0.1394554674625396,person & synonyms
23,ALLENATORE,TRAINER,0.1700473725795745,0.1509573310613632,0.2766325771808624,person & synonyms
24,ALLIEVA,STUDENT,0.1980960369110107,0.1806775331497192,0.2092483937740326,person & synonyms
25,ALLIEVO,STUDENT,0.1980960369110107,0.1806775331497192,0.2092483937740326,person & synonyms
26,ALPHA,ALPHA extension,0.0656289607286453,0.0927551463246345,0.0679887011647224,woman & synonyms
27,ALPINISTA,MOUNTAINEEPER,0.243294671177864,0.2169662415981292,0.2573597729206085,person & synonyms
28,ALTLETA,ATHLETE,0.2129014879465103,0.2057040482759475,0.3147634267807007,person & synonyms
29,ALUNNA,STUDENT,0.1980960369110107,0.1806775331497192,0.2092483937740326,person & synonyms
30,ALUNNO,STUDENT,0.1980960369110107,0.1806775331497192,0.2092483937740326,person & synonyms
31,AMANTE,LOVER,0.226572036743164,0.2211202532052993,0.2205054610967636,man & synonyms
32,AMICA,FRIEND,0.1872742176055908,0.1746947914361953,0.1754902750253677,man & synonyms
33,AMICO,FRIEND,0.1872742176055908,0.1746947914361953,0.1754902750253677,man & synonyms
34,AMMAESTRATORE DI COCORITE,TRAINER OF PAROKETS,0.1797585636377334,0.1490869522094726,0.2844699025154114,person & synonyms
35,AMMINISTRATORE,ADMINISTRATOR,0.1537074446678161,0.2237715721130371,0.1581734120845794,woman & synonyms
36,AMMINISTRATRICE,ADMINISTRATOR,0.1537074446678161,0.2237715721130371,0.1581734120845794,woman & synonyms
37,AMMINISTRATRICE DI CASA,HOUSE ADMINISTRATOR,0.1613455712795257,0.1791137754917144,0.1325098872184753,woman & synonyms
38,AMMINISTRATRICE DI CONDOMINIO,CONDOMINIUM ADMINISTRATOR,0.187721312046051,0.2283380031585693,0.153056114912033,woman & synonyms
39,ANALISTA,ANALYST,0.1080390214920044,0.1759792864322662,0.168254017829895,woman & synonyms
40,ANESTESISTA,ANESTHETIST,0.0996081084012985,0.1463276296854019,0.2162475287914276,person & synonyms
41,ANIMALISTA,ANIMALIST,0.2672111392021179,0.2260179072618484,0.3138113915920257,person & synonyms
42,ANIMATORE,ANIMATOR,0.1506662517786026,0.2117121368646621,0.2545184791088104,person & synonyms
43,APICOLTORE,BEEKEEPER,0.1872597187757492,0.2321209609508514,0.3164400458335876,person & synonyms
44,APPROFITTATORE,BENEFITER,0.1520788818597793,0.147204965353012,0.1933125108480453,person & synonyms
45,ARBITRO,REFEREE,0.0996056124567985,0.1432643085718155,0.1863905191421508,person & synonyms
46,ARCHEOLOGA,ARCHAEOLOGIST,0.0761350244283676,0.1505842208862304,0.2570281624794006,person & synonyms
47,ARCHEOLOGO,ARCHAEOLOGIST,0.0761350244283676,0.1505842208862304,0.2570281624794006,person & synonyms
48,ARCHITETTO,ARCHITECT,0.15371635556221,0.1722265630960464,0.2691841721534729,person & synonyms
49,ARCHITETTRICE,ARCHITECT,0.15371635556221,0.1722265630960464,0.2691841721534729,person & synonyms
50,ARREDARE CASA,FURNISH HOME,0.1099651455879211,0.082200601696968,0.0985010638833046,man & synonyms
51,ARREDATORE,FURNISHER,0.2455797642469406,0.1722344160079956,0.296359121799469,person & synonyms
52,ARREDATRICE,FURNISHER,0.2455797642469406,0.1722344160079956,0.296359121799469,person & synonyms
53,ARROTINA,GRINDER,0.1264448314905166,0.0855182036757469,0.1402902454137802,person & synonyms
54,ARTIGIANA,ARTISAN,0.1310209482908249,0.1561686694622039,0.2038595676422119,person & synonyms
55,ARTIGIANO,ARTISAN,0.1310209482908249,0.1561686694622039,0.2038595676422119,person & synonyms
56,ARTISTA,ARTIST,0.1435664147138595,0.1916421502828598,0.2502430379390716,person & synonyms
57,ASCOLTARE,TO LISTEN,0.1470838040113449,0.111254371702671,0.1368335038423538,man & synonyms
58,ASCOLTATORE,LISTENER,0.1615214645862579,0.1681884825229644,0.3023615777492523,person & synonyms
59,ASCOLTATRICE,LISTENER,0.1615214645862579,0.1681884825229644,0.3023615777492523,person & synonyms
60,ASSESSORA,COUNCILOR,0.2786274552345276,0.2040165215730667,0.3100685477256775,person & synonyms
61,ASSESSORE,COUNCILOR,0.2786274552345276,0.2040165215730667,0.3100685477256775,person & synonyms
62,ASSICURATRICE,INSURER,0.1535907089710235,0.1525874733924865,0.1535065323114395,man & synonyms
63,ASSISTENTE,ASSISTANT,0.1611203253269195,0.2144617885351181,0.2145842909812927,person & synonyms
64,ASSISTENTE SOCIALE,SOCIAL WORKER,0.1869728118181228,0.220392644405365,0.248186245560646,person & synonyms
65,ASTROFISICA,ASTROPHYSICS,0.0922855362296104,0.0471008233726024,0.0720234289765358,man & synonyms
66,ASTRONAUTA,ASTRONAUT,0.2010104805231094,0.1976344436407089,0.2808208763599396,person & synonyms
67,ATLETA,ATHLETE,0.2129014879465103,0.2057040482759475,0.3147634267807007,person & synonyms
68,ATTORE,ACTOR,0.1932001560926437,0.1781399995088577,0.2332731634378433,person & synonyms
69,ATTORE DI PROSA,PROSE ACTOR,0.1280349344015121,0.1143739819526672,0.1324628442525863,person & synonyms
70,ATTRICE,ACTOR,0.1932001560926437,0.1781399995088577,0.2332731634378433,person & synonyms
71,AUTISTA,DRIVER,0.1750851720571518,0.1601931452751159,0.2600376605987549,person & synonyms
72,AUTOMOBILISTA,MOTORIST,0.171119287610054,0.2174653857946396,0.3181109428405761,person & synonyms
73,AUTORE,AUTHOR,0.1038343012332916,0.1346589624881744,0.217990294098854,person & synonyms
74,AVVITARE,SCREW,0.0994816794991493,0.1112685203552246,0.0952672436833381,woman & synonyms
75,AVVOCATO,LAWYER,0.0952922329306602,0.1673585027456283,0.1766705811023712,person & synonyms
76,BABBO,DAD,0.3448513448238373,0.2122259587049484,0.2209741473197937,man & synonyms
77,BABY SITTER,BABY SITTER,0.1579601913690567,0.2115918397903442,0.2465407848358154,person & synonyms
78,BACIATRICE,KISSER,0.2258152812719345,0.2704092860221863,0.3165169358253479,person & synonyms
79,BADANTE,CAREGIVER,0.1493399888277053,0.2580564618110657,0.237895667552948,woman & synonyms
80,BAGNINA,LIFEGUARD,0.1347427070140838,0.1624429523944854,0.2947708666324615,person & synonyms
81,BAGNINO,LIFEGUARD,0.1347427070140838,0.1624429523944854,0.2947708666324615,person & synonyms
82,BALLARE,DANCE,0.1244528740644455,0.1386585235595703,0.1118440479040145,woman & synonyms
83,BALLERINA,DANCER,0.170904591679573,0.2543534934520721,0.2634160816669464,person & synonyms
84,BALLERINO,DANCER,0.170904591679573,0.2543534934520721,0.2634160816669464,person & synonyms
85,BAMBINA,BABY,0.1549099087715149,0.1736472100019455,0.1929637342691421,person & synonyms
