,ita,list_of_words,MAN,WOMAN,PERSON,associated_word
0,A CALCIO,FOOTBALL,0.0912391170859336,0.140247032046318,0.1335954070091247,woman
1,A PALLAVOLO,AT VOLLEYBALL,0.0523695014417171,0.1342722624540329,0.132421001791954,woman
2,A SCUOLA,AT SCHOOL,-0.0557837635278701,0.0697045996785163,0.0817044824361801,person
3,ABBINARE I COLORI,MATCH COLORS,0.0189437456429004,0.1064166352152824,0.1293420195579528,person
4,ACCOGLIENTE,WELCOMING,-0.1004076823592186,0.0552718043327331,0.065517358481884,person
5,ACCOMPAGNATRICE,COMPANION,-0.0003642253868747,0.0944983437657356,0.1649921536445617,person
6,ACCUDIRE I FIGLI,CARING FOR THE CHILDREN,-0.0373028144240379,0.0915810093283653,0.1008229926228523,person
7,ADDESTRATORE DI CANI,DOG TRAINER,0.0426071733236312,0.066978208720684,0.1080198585987091,person
8,AFFABILE,EASY GOING,0.0254561454057693,0.0924671664834022,0.0959657952189445,person
9,AFFACCENDATA,BUSY,-0.0399399138987064,0.0100925406441092,0.0903650373220443,person
10,AGENTE,AGENT,0.0222042109817266,0.0745314806699752,0.1900933384895324,person
11,AGENTE IMMOBILIARE,REAL ESTATE AGENT,-0.0150142246857285,0.082890048623085,0.1097794249653816,person
12,AGGIUSTARE,ADJUST,-0.0426534637808799,-0.0242339950054883,0.0015456862747669,person
13,AGGIUSTARE L'IMPIANTO ELETTRICO,ADJUST THE ELECTRICAL SYSTEM,-0.0404796078801155,-0.0295744836330413,0.0024965442717075,person
14,AGGIUSTATORE,ADJUSTER,0.0116176391020417,0.1129846647381782,0.1691892296075821,person
15,AGGIUSTATRICE,ADJUSTER,0.0116176391020417,0.1129846647381782,0.1691892296075821,person
16,AGGIUSTATUTTO,ADJUSTER,0.0116176391020417,0.1129846647381782,0.1691892296075821,person
17,AGRICOLTORE,FARMER,0.0483974292874336,0.153043508529663,0.2066710591316223,person
18,AIUTANTE,SUPPORT WORKER,-0.0432801619172096,0.0514823235571384,0.0769242346286773,person
19,AIUTANTE DOMESTICO,DOMESTIC HELP,0.0315795503556728,0.1316159516572952,0.1229610368609428,woman
20,AIUTO,HELP,-0.0281900763511657,0.0273014437407255,0.0669256076216697,person
21,AL COMPUTER,AT THE PC,0.0127065563574433,0.1230455487966537,0.1070193499326706,woman
22,ALLEATA,ALLY,-0.0018891729414463,0.0585740245878696,0.0885329470038414,person
23,ALLENATORE,TRAINER,0.0318112410604953,0.1194489076733589,0.2139700353145599,person
24,ALLIEVA,STUDENT,0.0347621329128742,0.1186059713363647,0.1759187877178192,person
25,ALLIEVO,STUDENT,0.0347621329128742,0.1186059713363647,0.1759187877178192,person
26,ALPHA,ALPHA extension,0.0014681426109746,0.0463342629373073,0.0272629018872976,woman
27,ALPINISTA,MOUNTAINEEPER,0.1942865997552871,0.1737864464521408,0.2528459727764129,person
28,ALTLETA,ATHLETE,0.0856960341334343,0.1774363219738006,0.2675814926624298,person
29,ALUNNA,STUDENT,0.0347621329128742,0.1186059713363647,0.1759187877178192,person
30,ALUNNO,STUDENT,0.0347621329128742,0.1186059713363647,0.1759187877178192,person
31,AMANTE,LOVER,0.0624318644404411,0.1532331258058548,0.2026142328977584,person
32,AMICA,FRIEND,0.0821402892470359,0.09736218303442,0.216457337141037,person
33,AMICO,FRIEND,0.0821402892470359,0.09736218303442,0.216457337141037,person
34,AMMAESTRATORE DI COCORITE,TRAINER OF PAROKETS,0.0449781976640224,0.1229250878095626,0.2243177145719528,person
35,AMMINISTRATORE,ADMINISTRATOR,-0.0284518469125032,0.1222248375415802,0.1554558426141739,person
36,AMMINISTRATRICE,ADMINISTRATOR,-0.0284518469125032,0.1222248375415802,0.1554558426141739,person
37,AMMINISTRATRICE DI CASA,HOUSE ADMINISTRATOR,0.0434665419161319,0.1204237714409828,0.1172495782375335,woman
38,AMMINISTRATRICE DI CONDOMINIO,CONDOMINIUM ADMINISTRATOR,-0.0069582839496433,0.1204221472144126,0.1474041640758514,person
39,ANALISTA,ANALYST,-0.0149044031277298,0.1082080230116844,0.1170387715101242,person
40,ANESTESISTA,ANESTHETIST,-0.0066403038799762,0.0909208953380584,0.1202869340777397,person
41,ANIMALISTA,ANIMALIST,0.1688507795333862,0.2457684874534607,0.2782186567783355,person
42,ANIMATORE,ANIMATOR,0.0008251593681052,0.0765731856226921,0.1790251731872558,person
43,APICOLTORE,BEEKEEPER,0.0588891133666038,0.1508650928735733,0.2274678349494934,person
44,APPROFITTATORE,BENEFITER,0.1072111874818801,0.1287176609039306,0.1782503128051757,person
45,ARBITRO,REFEREE,-0.0419278591871261,0.0768146961927414,0.117518849670887,person
46,ARCHEOLOGA,ARCHAEOLOGIST,-0.0035803434439003,0.1199526935815811,0.1546885371208191,person
47,ARCHEOLOGO,ARCHAEOLOGIST,-0.0035803434439003,0.1199526935815811,0.1546885371208191,person
48,ARCHITETTO,ARCHITECT,0.0284898690879344,0.1566749215126037,0.2267897576093673,person
49,ARCHITETTRICE,ARCHITECT,0.0284898690879344,0.1566749215126037,0.2267897576093673,person
50,ARREDARE CASA,FURNISH HOME,0.042523119598627,0.065733402967453,0.0670204237103462,person
51,ARREDATORE,FURNISHER,0.179031029343605,0.2097493708133697,0.2583570480346679,person
52,ARREDATRICE,FURNISHER,0.179031029343605,0.2097493708133697,0.2583570480346679,person
53,ARROTINA,GRINDER,0.0697031319141388,0.0679358169436454,0.0783496424555778,person
54,ARTIGIANA,ARTISAN,0.0276965368539094,0.0872624292969703,0.1338319033384323,person
55,ARTIGIANO,ARTISAN,0.0276965368539094,0.0872624292969703,0.1338319033384323,person
56,ARTISTA,ARTIST,0.0346127934753894,0.1159616783261299,0.1753762066364288,person
57,ASCOLTARE,TO LISTEN,0.0095220413058996,0.0611037649214267,0.1043719574809074,person
58,ASCOLTATORE,LISTENER,0.0361701622605323,0.1232515275478363,0.2515040338039398,person
59,ASCOLTATRICE,LISTENER,0.0361701622605323,0.1232515275478363,0.2515040338039398,person
60,ASSESSORA,COUNCILOR,0.1739871054887771,0.2659752964973449,0.3107222318649292,person
61,ASSESSORE,COUNCILOR,0.1739871054887771,0.2659752964973449,0.3107222318649292,person
62,ASSICURATRICE,INSURER,0.0181887261569499,0.1050145030021667,0.1268124729394912,person
63,ASSISTENTE,ASSISTANT,-0.0056049213744699,0.089229516685009,0.1237479150295257,person
64,ASSISTENTE SOCIALE,SOCIAL WORKER,0.0340040996670722,0.1381611675024032,0.2235713303089141,person
65,ASTROFISICA,ASTROPHYSICS,-0.0161564592272043,0.0137150632217526,0.0230848044157028,person
66,ASTRONAUTA,ASTRONAUT,0.0257095675915479,0.1104622557759285,0.2097647339105606,person
67,ATLETA,ATHLETE,0.0856960341334343,0.1774363219738006,0.2675814926624298,person
68,ATTORE,ACTOR,0.0512564033269882,0.0922944769263267,0.1895082890987396,person
69,ATTORE DI PROSA,PROSE ACTOR,-0.0092138554900884,0.032508123666048,0.0954048559069633,person
70,ATTRICE,ACTOR,0.0512564033269882,0.0922944769263267,0.1895082890987396,person
71,AUTISTA,DRIVER,0.0601748712360858,0.1127674207091331,0.1937839835882187,person
72,AUTOMOBILISTA,MOTORIST,0.0483702458441257,0.1528710126876831,0.2590540051460266,person
73,AUTORE,AUTHOR,-0.030325623229146,0.0730566456913948,0.1752218157052993,person
74,AVVITARE,SCREW,0.0383593253791332,0.0680538937449455,0.052617497742176,woman
75,AVVOCATO,LAWYER,-0.0128867197781801,0.1062532588839531,0.1257079094648361,person
76,BABBO,DAD,0.0943411514163017,0.0770015940070152,0.1474304795265197,person
77,BABY SITTER,BABY SITTER,0.0113026732578873,0.1368142515420913,0.1760165095329284,person
78,BACIATRICE,KISSER,0.0544380545616149,0.1842272579669952,0.269467681646347,person
79,BADANTE,CAREGIVER,-0.010208467952907,0.1539509296417236,0.1505613774061203,woman
80,BAGNINA,LIFEGUARD,0.0182453151792287,0.1003182530403137,0.1738882809877395,person
81,BAGNINO,LIFEGUARD,0.0182453151792287,0.1003182530403137,0.1738882809877395,person
82,BALLARE,DANCE,0.0252183061093091,0.0740916877985,0.0966728925704956,person
83,BALLERINA,DANCER,0.039651982486248,0.1637114435434341,0.2375948280096054,person
84,BALLERINO,DANCER,0.039651982486248,0.1637114435434341,0.2375948280096054,person
85,BAMBINA,BABY,-0.002551000798121,0.1067473664879798,0.1415478289127349,person
86,BAMBINO,BABY,-0.002551000798121,0.1067473664879798,0.1415478289127349,person
87,BANCARIA,BANKING,0.0080903703346848,0.1027482971549034,0.0865334495902061,woman
88,BANCARIO,BANKING,0.0080903703346848,0.1027482971549034,0.0865334495902061,woman
89,BARBIERE,BARBER SHOP,0.0712141320109367,0.0884539559483528,0.1360768675804138,person
90,BARISTA,BARTENDER,0.0290102735161781,0.1374071091413498,0.2012228220701217,person
91,BARZELLETTIERE,BARZELLETTERE,0.0993221923708915,0.1523877829313278,0.1301733702421188,woman
92,BELLA,NICE,-0.0357783660292625,0.0536374002695083,0.1074080318212509,person
93,BELLO,NICE,-0.0357783660292625,0.0536374002695083,0.1074080318212509,person
94,BENZINAIA,GAS STATION,0.0019825960043817,0.0515983253717422,0.0609550774097442,person
95,BENZINAIO,GAS STATION,0.0019825960043817,0.0515983253717422,0.0609550774097442,person
96,BIDELLA,JANITOR,0.0457425527274608,0.1566852182149887,0.2234677523374557,person
97,BIDELLO,JANITOR,0.0457425527274608,0.1566852182149887,0.2234677523374557,person
